preset,alpha,snr_model,source_parameter_tag,detector_curve_kind,scan_low_hz,detector_curve_extrapolated,snr_ref,rho2_ref,transition_freq_obs_mhz,peak_overlap_abs,max_h_axion_ref,time_samples,nyquist_hz,df_hz,runtime_s,status,message
322v,0.1,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,8.9665385585467713e-16,8.0398813721906014e-31,3.8505765591732871e-01,2.8450500406515802e-06,3.3909162771462519e-29,65994,2.6139899738890152e-03,7.9219019119587095e-08,4.050,ok,
322v,0.12,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.0252818115850381e-14,1.0512027931670975e-28,9.5919486262237719e-01,3.4224437028961833e-06,1.2206439534624162e-28,90811,3.5969544583163752e-03,7.9219347171377057e-08,4.109,ok,
322v,0.14,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.2017310826509770e-09,1.4441575950094893e-18,2.0754636176065375e+00,4.0028790879167796e-06,3.6078398838583312e-28,196491,7.7829508583150062e-03,7.9219816360272850e-08,5.340,ok,
322v,0.16,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,9.6987631819527617e-05,9.4066007259602458e-09,4.0508734372548636e+00,4.5864845658313805e-06,9.2310241273873186e-28,383509,1.5190754366721784e-02,7.9220012968291584e-08,15.464,ok,
322v,0.18,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,9.0262323466594398e-04,8.1472870375881187e-07,7.3077652089372735e+00,5.1733915228135191e-06,2.1154434303594030e-27,691847,2.7404056392178328e-02,7.9220105029669395e-08,33.736,ok,
322v,0.2,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,7.4015031194047138e-03,5.4782248426557712e-05,1.2389244439762731e+01,5.7637303210304472e-06,4.4444332115022310e-27,1172920,4.6459450338428777e-02,7.9220151994046959e-08,61.914,ok,
322v,0.22,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,4.1693947838267353e-02,1.7383852863401589e-03,1.9974711560486568e+01,6.3577395170464795e-06,8.7036484191279812e-27,1891032,7.4903945483813725e-02,7.9220177642486982e-08,78.736,ok,
322v,0.24,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.3802301299836039e-01,1.9050352117145564e-02,3.0895489284591921e+01,6.9554956748444274e-06,1.6083667102660180e-26,2924807,1.1585184709865219e-01,7.9220192449449432e-08,94.872,ok,
322v,0.26,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,4.4616454921370041e-01,1.9906280497506448e-01,4.6150547022706611e+01,7.5567006035687434e-06,2.8312037016795179e-26,4000000,1.5844039946003499e-01,7.9220199730017501e-08,116.253,ok,
322v,0.28,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,1.2262112379426893e+00,1.5035940000569428e+00,6.6922322352116481e+01,8.1610853950309634e-06,4.7800627946736923e-26,4000000,1.5844039946003499e-01,7.9220199730017501e-08,168.856,ok,
322v,0.3,deterministic_strain_psd_v12_nyquist_checked,M1=150;M2=0.015;e0=0.3;spin=0.99;McM=0.05;z=0;nres=4;Tobs=0.4yr,characteristic_strain,2.0000000000000001e-04,False,3.0648979879710763e+00,9.3935996766691527e+00,9.4592639541440732e+01,8.7661167985381624e-06,7.7845733556042148e-26,4000000,1.5844039946003499e-01,7.9220199730017501e-08,267.516,ok,
