distance_kpc\alpha,0.1,0.10202020202,0.10404040404,0.106060606061,0.108080808081,0.110101010101,0.112121212121,0.114141414141,0.116161616162,0.118181818182,0.120202020202,0.122222222222,0.124242424242,0.126262626263,0.128282828283,0.130303030303,0.132323232323,0.134343434343,0.136363636364,0.138383838384,0.140404040404,0.142424242424,0.144444444444,0.146464646465,0.148484848485,0.150505050505,0.152525252525,0.154545454545,0.156565656566,0.158585858586,0.160606060606,0.162626262626,0.164646464646,0.166666666667,0.168686868687,0.170707070707,0.172727272727,0.174747474747,0.176767676768,0.178787878788,0.180808080808,0.182828282828,0.184848484848,0.186868686869,0.188888888889,0.190909090909,0.192929292929,0.194949494949,0.19696969697,0.19898989899,0.20101010101,0.20303030303,0.205050505051,0.207070707071,0.209090909091,0.211111111111,0.213131313131,0.215151515152,0.217171717172,0.219191919192,0.221212121212,0.223232323232,0.225252525253,0.227272727273,0.229292929293,0.231313131313,0.233333333333,0.235353535354,0.237373737374,0.239393939394,0.241414141414,0.243434343434,0.245454545455,0.247474747475,0.249494949495,0.251515151515,0.253535353535,0.255555555556,0.257575757576,0.259595959596,0.261616161616,0.263636363636,0.265656565657,0.267676767677,0.269696969697,0.271717171717,0.273737373737,0.275757575758,0.277777777778,0.279797979798,0.281818181818,0.283838383838,0.285858585859,0.287878787879,0.289898989899,0.291919191919,0.293939393939,0.29595959596,0.29797979798,0.3
1.000000000000000000e+00,3.944147936306782608e-12,5.527707441469842733e-12,6.297048481702402206e-12,5.855284221897664447e-12,5.090660642777025379e-12,7.329856126554187366e-12,6.389840326095461730e-12,6.928829026065619377e-12,1.489847792495540430e-11,1.802121498460699898e-11,1.577229541095292904e-11,2.391126058742899896e-11,1.762247043666286533e-11,3.131104761228066283e-11,3.610273662852399840e-11,3.695214516089509135e-11,4.561283052116313841e-11,6.452718693025662260e-11,7.557087875555069420e-11,8.958725179539497668e-11,1.153615998330593611e-10,1.434207424776818977e-10,1.890190603611078780e-10,2.571617715828476818e-10,3.633162217287179454e-10,5.472596202461001838e-10,8.578434639818547499e-10,1.434152780324046591e-09,2.788513141531179399e-09,7.024037779921292637e-09,3.384918895824079089e-08,3.211520093853347175e-06,2.310627827519333433e-04,2.917055950727116061e-04,3.672314777208529287e-04,4.610462473730501617e-04,5.772800312498376808e-04,7.209299279868136220e-04,8.980285459514076056e-04,1.115842753084438045e-03,1.383107611329987240e-03,1.710301204671665475e-03,2.109966933006577391e-03,2.597090784446029216e-03,3.189542205649866131e-03,3.908588413123620549e-03,4.779493372528661674e-03,5.832214254607537805e-03,7.102209934432656205e-03,8.631378088856297634e-03,1.046913969080862962e-02,1.267369218964226052e-02,1.531345549122424543e-02,1.846873799889221443e-02,2.223365347506028183e-02,2.671832344982721236e-02,3.205140424136362215e-02,3.838298259812268631e-02,4.588788934733481484e-02,5.476948655822425072e-02,6.526399037812523340e-02,7.764539923403378230e-02,9.223110530323908041e-02,1.093882763405199104e-01,1.295411051115854806e-01,1.531790348332474627e-01,1.808660814505049785e-01,2.132513871830631624e-01,2.510811548558374295e-01,2.952121290693997535e-01,3.466268085136496868e-01,4.064505937588900886e-01,4.759710968317753532e-01,5.566598630977288575e-01,6.501967823382857059e-01,7.584974949739696770e-01,8.837441311149887291e-01,1.028419754690255372e+00,1.195346922976336490e+00,1.387730813026851306e+00,1.628658966316226087e+00,1.939950343344139627e+00,2.307644689130213145e+00,2.741408913260990676e+00,3.125007626727264842e+00,3.546091644649346009e+00,4.020123410019330379e+00,4.553289167976533491e+00,5.160794847709484046e+00,5.940587638576879215e+00,6.831234206927520702e+00,7.847512918096912315e+00,9.006042652448286390e+00,1.032549592856848442e+01,1.182683483153195070e+01,1.327924573485525706e+01,1.481604113599559369e+01,1.653477067631655473e+01,1.844649009550087015e+01,2.058370209497586245e+01
1.091376714651273394e+00,3.613919816465071189e-12,5.064894062025234439e-12,5.769821178303672950e-12,5.365044116566660492e-12,4.664439486784945952e-12,6.716155868229505252e-12,5.854843923564194559e-12,6.348705202382462697e-12,1.365108649007222165e-11,1.651236895810563536e-11,1.445174264689405180e-11,2.190926402078254148e-11,1.614700973558314800e-11,2.868949574600870618e-11,3.307999533420490476e-11,3.385828620386350794e-11,4.179384616588394609e-11,5.912457730131702758e-11,6.924362389360469145e-11,8.208646069933855276e-11,1.057028231264039270e-10,1.314126832214017082e-10,1.731932318360896669e-10,2.356306196848064084e-10,3.328971718485015134e-10,5.014397072059261947e-10,7.860195773518594699e-10,1.314076762928096859e-09,2.555041814706657579e-09,6.435942498705112008e-09,3.101512841883986367e-08,2.942632045140821437e-06,2.117167973716249218e-04,2.672822235958369750e-04,3.364846187305673905e-04,4.224446437089028682e-04,5.289466263116081269e-04,6.605692776001471445e-04,8.228401191776882556e-04,1.022417592481787880e-03,1.267305406797075013e-03,1.567104357012194917e-03,1.933307633085037296e-03,2.379646504805515549e-03,2.922494279776729435e-03,3.581337553433627027e-03,4.379325038152246871e-03,5.343905707637440321e-03,6.507569603683562715e-03,7.908706474110797219e-03,9.592599466586405194e-03,1.161257338506793690e-02,1.403131960362315536e-02,1.692242261627646335e-02,2.037211640727059486e-02,2.448130246059400036e-02,2.936786520280944279e-02,3.516932520443884214e-02,4.204587538959664306e-02,5.018385111480475058e-02,5.979969107090486041e-02,7.114445286552018022e-02,8.450895466714222759e-02,1.002296227068328605e-01,1.186951337448844540e-01,1.403539518269753816e-01,1.657228700433625579e-01,1.953966804681215585e-01,2.300591092747156508e-01,2.704951691806330993e-01,3.176050980933811108e-01,3.724200711839109612e-01,4.361198937471026937e-01,5.100529043957089392e-01,5.957583422934239481e-01,6.949914587616354833e-01,8.097516826693252900e-01,9.423141806895388717e-01,1.095265188389404676e+00,1.271541525851842769e+00,1.492297704772481026e+00,1.777525869208241405e+00,2.114434601866664210e+00,2.511881439707049690e+00,2.863362929385749212e+00,3.249191225215415812e+00,3.683534160158325133e+00,4.172060029181987595e+00,4.728701628345175934e+00,5.443205410952047352e+00,6.259281616714994279e+00,7.190471276093169273e+00,8.252001835430380794e+00,9.460982436177211241e+00,1.083662008980186897e+01,1.216742629431888112e+01,1.357555181185055027e+01,1.515037883284865039e+01,1.690203744304280775e+01,1.886030901946900329e+01
1.191103133283006876e+00,3.311340408815505857e-12,4.640830241319208668e-12,5.286736560205336138e-12,4.915849902735874272e-12,4.273904165414936591e-12,6.153838338373851501e-12,5.364640682694964814e-12,5.817152883283806051e-12,1.250813427372247001e-11,1.512985272311020427e-11,1.324175461404434018e-11,2.007488681649506231e-11,1.479508360295426471e-11,2.628743619033125096e-11,3.031033637617504338e-11,3.102346398757666107e-11,3.829461047209376959e-11,5.417430710000904765e-11,6.344612539743441265e-11,7.521368157975366598e-11,9.685273811268647639e-11,1.204100119209450901e-10,1.586924381939282508e-10,2.159021871381022247e-10,3.050249903443027586e-10,4.594561167324801578e-10,7.202092245508605716e-10,1.204054242029511064e-09,2.341118131261457073e-09,5.897086141114512678e-09,2.841835271219809669e-08,2.696256943763985290e-06,1.939905758748706620e-04,2.449037257325408857e-04,3.083120742942403953e-04,3.870750017274156448e-04,4.846599888111246374e-04,6.052623889920707252e-04,7.539469260534934587e-04,9.368145561072191993e-04,1.161198869083454729e-03,1.435896822769331489e-03,1.771439327164667623e-03,2.180407986408141457e-03,2.677805234932606471e-03,3.281486131558128665e-03,4.012661237280995899e-03,4.896481330321376425e-03,5.962716188023968640e-03,7.246541334389618866e-03,8.789448535789515238e-03,1.064029791837595856e-02,1.285653195203689987e-02,1.550557418817907589e-02,1.866643857595961034e-02,2.243157851174833531e-02,2.690900841896130477e-02,3.222473480724431794e-02,3.852553827211855492e-02,4.598215303763371342e-02,5.479289622741548293e-02,6.518780537502387451e-02,7.743334957823917730e-02,9.183778741225859243e-02,1.087572532485366478e-01,1.286026629877498884e-01,1.518475406508153769e-01,1.790368786918424271e-01,2.107971575591350288e-01,2.478476639178289476e-01,2.910132622674336256e-01,3.412387915046455888e-01,3.996052764296475490e-01,4.673481645232697712e-01,5.458778204588926597e-01,6.368025352123308780e-01,7.419543332735154539e-01,8.634178904858124115e-01,1.003562907001707138e+00,1.165080314415666507e+00,1.367353439686784577e+00,1.628700562643223160e+00,1.937401241460688261e+00,2.301571406083800397e+00,2.623624721827308548e+00,2.977149119636135044e+00,3.375126215090012316e+00,3.822749718931910845e+00,4.332785888561066834e+00,4.987467056864328896e+00,5.735216385585994558e+00,6.588441167530987741e+00,7.561093914365889290e+00,8.668851285873612866e+00,9.929312165382311761e+00,1.114869515812120682e+01,1.243892381943326875e+01,1.388189671766053657e+01,1.548689578597386607e+01,1.728120892289279098e+01
1.299942224413245695e+00,3.034094794549080897e-12,4.252271629967924927e-12,4.844098732576132286e-12,4.504264968037761016e-12,3.916066842951266534e-12,5.638601461586233875e-12,4.915480246808385116e-12,5.330105366177393722e-12,1.146087698757544409e-11,1.386308917901426387e-11,1.213307415879352615e-11,1.839409485927100557e-11,1.355634897129148062e-11,2.408649171036314011e-11,2.777257015773887276e-11,2.842599037628319174e-11,3.508835213176599131e-11,4.963850371071854973e-11,5.813402883321301709e-11,6.891633344384357360e-11,8.874363619131617465e-11,1.103285513649790527e-10,1.454057394330931259e-10,1.978255392841959878e-10,2.794864378628117929e-10,4.209876485034682339e-10,6.599089158512864904e-10,1.103243477587151583e-09,2.145105443274472833e-09,5.403346124164655492e-09,2.603899490496147477e-08,2.470509868469677343e-06,1.777485017507051453e-04,2.243988921925961716e-04,2.824983070971558152e-04,3.546667218853917503e-04,4.440812986980280960e-04,5.545861304045411480e-04,6.908218912242429424e-04,8.583787280146972735e-04,1.063976217830972992e-03,1.315674783503276981e-03,1.623123623020209178e-03,1.997850931889128163e-03,2.453603049235152361e-03,3.006740099459295767e-03,3.676696766032027872e-03,4.486518050631074089e-03,5.463481223281578189e-03,6.639816698586153108e-03,8.053542299184934111e-03,9.749427283480062087e-03,1.178010468744968356e-02,1.420735295157324329e-02,1.710357049529326323e-02,2.055346995277966896e-02,2.465602212116053613e-02,2.952668347660419509e-02,3.529994524798762273e-02,4.213224674884726018e-02,5.020530078372013871e-02,5.972988474090111521e-02,7.095015730015954980e-02,8.414856774876625090e-02,9.965143271660122093e-02,1.178352637190378249e-01,1.391339384580283223e-01,1.640468192956177906e-01,1.931479339161921716e-01,2.270963459184884015e-01,2.666478571154240473e-01,3.126681987288700282e-01,3.661478855697715140e-01,4.282189259211024446e-01,5.001736001242399476e-01,5.834855432258401198e-01,6.798333914523653210e-01,7.911272788715303372e-01,9.195384998867003334e-01,1.067532684887769312e+00,1.252870270485561877e+00,1.492335818401293812e+00,1.775190193680964201e+00,2.108869811116704795e+00,2.403958859123756842e+00,2.727884038269426714e+00,3.092540064104688291e+00,3.502685798233647674e+00,3.970018629127082477e+00,4.569885897243071149e+00,5.255029091782083661e+00,6.036816691325677553e+00,6.928033018169973190e+00,7.943042186531865667e+00,9.097969593895006923e+00,1.021525840569499444e+01,1.139746125462083803e+01,1.271961966138906241e+01,1.419023841911670480e+01,1.583432071703549404e+01
1.418726674116596476e+00,2.780061873977733245e-12,3.896245515304630505e-12,4.438521243440641787e-12,4.127140434251435928e-12,3.588189843506569381e-12,5.166503358455775620e-12,4.503926261958982720e-12,4.883836437614044580e-12,1.050130246844924564e-11,1.270238680458188441e-11,1.111721919288922921e-11,1.685402905553876875e-11,1.242132875780030715e-11,2.206982372540308121e-11,2.544728120446753229e-11,2.604599309722869326e-11,3.215054129405513613e-11,4.548246544418853352e-11,5.326669339082292046e-11,6.314623770021000615e-11,8.131347773868562415e-11,1.010911721716843101e-10,1.332314841255839746e-10,1.812623786346834756e-10,2.560861287498843893e-10,3.857399950465189132e-10,6.046573167562463958e-10,1.010873205169738240e-09,1.965504132970159782e-09,4.950945032661047618e-09,2.385885144460104365e-08,2.263663715107827941e-06,1.628663131295603759e-04,2.056108483717266884e-04,2.588458259231069306e-04,3.249718608837261929e-04,4.069001040029748221e-04,5.081527972508994087e-04,6.329820692985745068e-04,7.865100258153980266e-04,9.748936398839556147e-04,1.205518466576111121e-03,1.487225814176221022e-03,1.830578667355478410e-03,2.248172437891118002e-03,2.754997480791989469e-03,3.368861289299945883e-03,4.110879397005137541e-03,5.006045254527278360e-03,6.083890749591233486e-03,7.379250620862178901e-03,8.933145771389568515e-03,1.079380247838050179e-02,1.301782671450243088e-02,1.567155526197784934e-02,1.883260809659760907e-02,2.259166957675000018e-02,2.705452945827127240e-02,3.234441854412019313e-02,3.860467809441008730e-02,4.600180680945002015e-02,5.472893450909528668e-02,6.500977741936722620e-02,7.710313645060144772e-02,9.130800701428082311e-02,1.079693767854389558e-01,1.274847965786824189e-01,1.503118190935890663e-01,1.769764109159215060e-01,2.080824548204258662e-01,2.443224722827495865e-01,2.864897102269371998e-01,3.354917515229985936e-01,3.923658258165521606e-01,4.582960158574209131e-01,5.346325749787329551e-01,6.229135937443854854e-01,7.248892781483967651e-01,8.425491285843675904e-01,9.781523378285352788e-01,1.147972330421114462e+00,1.367388362210145480e+00,1.626560444115934256e+00,1.932302368930924219e+00,2.202684762146397635e+00,2.499488949735440446e+00,2.833613749119473280e+00,3.209419580985707565e+00,3.637624457101981790e+00,4.187267179054011024e+00,4.815046006787142119e+00,5.531377580521879445e+00,6.347975841122541318e+00,7.278002251559763991e+00,8.336232092694110918e+00,9.359974671036543015e+00,1.044319628741818917e+01,1.165465552877711097e+01,1.300214511508145954e+01,1.450857481607074817e+01
1.548365256585498617e+00,2.547298138815472433e-12,3.570028078297047799e-12,4.066901175236159903e-12,3.781591066445079657e-12,3.287764706115340619e-12,4.733932187756657680e-12,4.126830086711277375e-12,4.474931865460014994e-12,9.622069380328238333e-12,1.163886551184177456e-11,1.018641780023821112e-11,1.544290695346576392e-11,1.138133935885674851e-11,2.022200348342142853e-11,2.331667962386267689e-11,2.386526370553099825e-11,2.945870189683145029e-11,4.167439604822566483e-11,4.880688095663026123e-11,5.785924956295872377e-11,7.450541746684385211e-11,9.262720270148505911e-11,1.220765317209056891e-10,1.660859868103399016e-10,2.346450362299614990e-10,3.534434901057735056e-10,5.540317185065213808e-10,9.262367353079745746e-10,1.800940139719030104e-09,4.536421719647023985e-09,2.186124289102562241e-08,2.074135983221095878e-06,1.492301521034383846e-04,1.883958541642748478e-04,2.371736747249694733e-04,2.977632347484747161e-04,3.728319456888827890e-04,4.656071459370186979e-04,5.799849500186842399e-04,7.206586096778792513e-04,8.932695986604979399e-04,1.104585108324680981e-03,1.362706198703747453e-03,1.677311456970567629e-03,2.059941730211345846e-03,2.524332289490244068e-03,3.086799676110366358e-03,3.766691502410039749e-03,4.586908614892756288e-03,5.574510311533643035e-03,6.761414754226331009e-03,8.185208325838223831e-03,9.890079505525676412e-03,1.192789486869527682e-02,1.435943707758633239e-02,1.725582729022689596e-02,2.070015721745419382e-02,2.478935925155411127e-02,2.963634656110029214e-02,3.537245900169806723e-02,4.215025498702246881e-02,5.014669433054817077e-02,5.956676237145095559e-02,7.064759162947521764e-02,8.366314379673786550e-02,9.892952207610397619e-02,1.168109919033938210e-01,1.377267968756490379e-01,1.621588664483011866e-01,1.906605226472275483e-01,2.238663048265765732e-01,2.625030444400484053e-01,3.074023359845990400e-01,3.595145659140478456e-01,4.199246783489053447e-01,4.898698751783097105e-01,5.707594686436245901e-01,6.641971268188729960e-01,7.720057769911159440e-01,8.962554585389733708e-01,1.051857085651607626e+00,1.252902269082281084e+00,1.490374883649288495e+00,1.770518229856453463e+00,2.018262560100725356e+00,2.290216490952072803e+00,2.596366324367563205e+00,2.940707400021092432e+00,3.333060352368163670e+00,3.836683633471110966e+00,4.411900989041799725e+00,5.068256914652349288e+00,5.816484588596803285e+00,6.668643515896615526e+00,7.638271900787053426e+00,8.576300506857824857e+00,9.568828203151737100e+00,1.067885668836274782e+01,1.191352622841694497e+01,1.329382844740888636e+01
1.689849786812457344e+00,2.334022803143100318e-12,3.271123554654339652e-12,3.726395405582437305e-12,3.464973199151869419e-12,3.012492993462736220e-12,4.337578513638424818e-12,3.781306703093734133e-12,4.100263277918556553e-12,8.816451048621438745e-12,1.066438870794557104e-11,9.333548776962011877e-12,1.414993259994576873e-11,1.042842421509186959e-11,1.852889402160549646e-11,2.136446500172310777e-11,2.186711827836334792e-11,2.699223971096392918e-11,3.818516144678957276e-11,4.472047121898278922e-11,5.301492031690124490e-11,6.826736952203575291e-11,8.487188837548376700e-11,1.118555399634971006e-10,1.521802550674807320e-10,2.149991227409844939e-10,3.238510455289574713e-10,5.076448040982354253e-10,8.486865468848987442e-10,1.650154447627630396e-09,4.156604826498009805e-09,2.003088630859320317e-08,1.900476668941798694e-06,1.367356936427966275e-04,1.726222042628725278e-04,2.173160481995012794e-04,2.728326807335437862e-04,3.416161813641163149e-04,4.266236760290361882e-04,5.314250727843376678e-04,6.603206757147560063e-04,8.184796199778951887e-04,1.012102506399568946e-03,1.248612124860270416e-03,1.536876712186879953e-03,1.887470845362095896e-03,2.312979794787762243e-03,2.828353981417579613e-03,3.451321117487473125e-03,4.202864650963721027e-03,5.107778310365419447e-03,6.195307874409617353e-03,7.499892764757800680e-03,9.062021731594160218e-03,1.092921876430778295e-02,1.315717742995331507e-02,1.581106418945417424e-02,1.896701380885563309e-02,2.271384290938902387e-02,2.715501088051889417e-02,3.241086100412229887e-02,3.862117857305642082e-02,4.594810724596731094e-02,5.457946973926805501e-02,6.473254439192353826e-02,7.665835515234598052e-02,9.064653913540279828e-02,1.070308632530412168e-01,1.261954694714709502e-01,1.485819371729180383e-01,1.746972608886466216e-01,2.051228524681401044e-01,2.405246886029868969e-01,2.816647376271199654e-01,3.294138138442171404e-01,3.847660232361503896e-01,4.488549816044384300e-01,5.229720049744683852e-01,6.085864925486369481e-01,7.073687450238429486e-01,8.212154854571486196e-01,9.637891953629472708e-01,1.148001649900162846e+00,1.365591608874949126e+00,1.622279645596237385e+00,1.849281309566531473e+00,2.098465598731290349e+00,2.378982700943164108e+00,2.694493441671727663e+00,3.053996211961672369e+00,3.515453080467309643e+00,4.042509730887497099e+00,4.643911535414978253e+00,5.329493025197390210e+00,6.110304009947144621e+00,6.998749192873978231e+00,7.858240323185017751e+00,8.767667547506047043e+00,9.784757678080895360e+00,1.091605315422517819e+01,1.218078805324030789e+01
1.844262708585534538e+00,2.138604179299252031e-12,2.997245140693292785e-12,3.414398855644568837e-12,3.174864510701081939e-12,2.760268707423646274e-12,3.974409986403647443e-12,3.464712644434576571e-12,3.756964229559093787e-12,8.078283996959336649e-12,9.771501045221724463e-12,8.552087149801754670e-12,1.296521394490909885e-11,9.555292938812657528e-12,1.697754200988795742e-11,1.957570169393771169e-11,2.003626977267013481e-11,2.473228478178475151e-11,3.498806684636921406e-11,4.097620062681315100e-11,4.857618785997376579e-11,6.255160899584444948e-11,7.776589626305413904e-11,1.024903119719190653e-10,1.394387959945679712e-10,1.969980849460242851e-10,2.967362608908485367e-10,4.651416850692500803e-10,7.776293332005701830e-10,1.511993453291609459e-09,3.808588520075000054e-09,1.835377834224148071e-08,1.741357171569356838e-06,1.252873474458245746e-04,1.581692205317302704e-04,1.991210232746628433e-04,2.499894647474879927e-04,3.130139912076762738e-04,3.909041399745777422e-04,4.869309246295798260e-04,6.050346015727004617e-04,7.499515144405689230e-04,9.273631119415674025e-04,1.144070702717199170e-03,1.408200020721494476e-03,1.729440274859810967e-03,2.119323019940760194e-03,2.591546936496002401e-03,3.162355464575098817e-03,3.850975189906500652e-03,4.680123958845414101e-03,5.676598915150207932e-03,6.871956002061336589e-03,8.303294004664318537e-03,1.001415791411674507e-02,1.205557829237488728e-02,1.448726546681570679e-02,1.737897973653958900e-02,2.081210145357256791e-02,2.488142775631392231e-02,2.969722605313098590e-02,3.538757795963880931e-02,4.210105147849801943e-02,5.000974366280828975e-02,5.931274098385676263e-02,7.024005013414690024e-02,8.305705804284728433e-02,9.806958662045550668e-02,1.156296151249608384e-01,1.361417512195999824e-01,1.600705407614157194e-01,1.879487162539314471e-01,2.203864947584496803e-01,2.580820479728853645e-01,3.018332803164803235e-01,3.525510651554393249e-01,4.112741050626690376e-01,4.791855992104184780e-01,5.576319197382711979e-01,6.481435195819326145e-01,7.524583165763719661e-01,8.830948859587002264e-01,1.051883950325056105e+00,1.251255950894366809e+00,1.486452499689443041e+00,1.694448199911824826e+00,1.922769260659744628e+00,2.179799760253560592e+00,2.468894017527849538e+00,2.798297023349552770e+00,3.221117908485521486e+00,3.704046161713461238e+00,4.255094939329764792e+00,4.883275365555437730e+00,5.598712092643064686e+00,6.412771226395720170e+00,7.200300517402878242e+00,8.033584948078695831e+00,8.965518089881006958e+00,1.000209460920482840e+01,1.116093818909488533e+01
2.012785375849939218e+00,1.959547194464927055e-12,2.746297497881837931e-12,3.128524559675592092e-12,2.909045490965549744e-12,2.529162176880081914e-12,3.641648143165293042e-12,3.174625771213795376e-12,3.442408271244410071e-12,7.401920792803962139e-12,8.953371383174511260e-12,7.836054256054377996e-12,1.187968716104765363e-11,8.755265538046459384e-12,1.555607864999463516e-11,1.793670455961003320e-11,1.835871106987316208e-11,2.266154706231517686e-11,3.205865250437281069e-11,3.754542320421985867e-11,4.450909315533204978e-11,5.731440680025091816e-11,7.125486114838230233e-11,9.390919798455450011e-11,1.277641295829943938e-10,1.805042038201914016e-10,2.718916913905978433e-10,4.261971863838751901e-10,7.125214628104333227e-10,1.385400140019237529e-09,3.489710261311517462e-09,1.681708808319778885e-08,1.595560128956729024e-06,1.147975266137664748e-04,1.449263287445801433e-04,1.824493968045560110e-04,2.290588221202491848e-04,2.868065508504946855e-04,3.581752613253096637e-04,4.461620979197530911e-04,5.543774147371530354e-04,6.871609998388139833e-04,8.497186163971686161e-04,1.048282126014355191e-03,1.290296926640454927e-03,1.584640987518610945e-03,1.941880371360081353e-03,2.374566821616747991e-03,2.897583778471546356e-03,3.528548060636422807e-03,4.288275437817866409e-03,5.201319433468073322e-03,6.296593934805661333e-03,7.608091590370300375e-03,9.175711539087180735e-03,1.104621175303982690e-02,1.327430324683517848e-02,1.592390556187803924e-02,1.906958539079940326e-02,2.279820287742190255e-02,2.721079317018424565e-02,3.242471411069657722e-02,3.857609468234855787e-02,4.582262292336689719e-02,5.434671657147176205e-02,6.435912475610279515e-02,7.610301459417377623e-02,8.985860272068531274e-02,1.059483985434927222e-01,1.247431335046407380e-01,1.466684588488429697e-01,1.722125034653928244e-01,2.019343933216218578e-01,2.364738449228780681e-01,2.765619572641558888e-01,3.230333398381966536e-01,3.768397287036521770e-01,4.390652583819623089e-01,5.109435745259149897e-01,5.938769912174948207e-01,6.894579172112943466e-01,8.091567962771450961e-01,9.638138107620920492e-01,1.146493171511524745e+00,1.361997630822101568e+00,1.552578662495333051e+00,1.761783291550365949e+00,1.997293630137665366e+00,2.262183153061620100e+00,2.564006530269147266e+00,2.951426272196729705e+00,3.393920826776125832e+00,3.898832439987865772e+00,4.474417769776026788e+00,5.129953770758263865e+00,5.875854909040080898e+00,6.597447444811560757e+00,7.360964220906674349e+00,8.214870236392895819e+00,9.164658247634310584e+00,1.022647637544761956e+01
