distance_kpc\alpha,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3
1.000000000000000021e-02,1.445771218656272626e-12,1.471113139985855266e-11,7.318651084652566231e-11,2.882312132143322599e-10,3.562912996608104724e-09,1.227671238430120271e+00,8.339339185376159591e+00,4.432825552023854954e+01,1.959919637036719564e+02,7.160971354727012113e+02,1.962301292900350518e+03
1.156887528316282061e-02,1.249707671030413559e-12,1.271612930365748153e-11,6.326156091685099003e-11,2.491436774617320644e-10,3.079740173008449776e-09,1.061184608167446974e+00,7.208426905174712296e+00,3.831682374928293200e+01,1.694131528835096674e+02,6.189859583972686323e+02,1.696190204207885472e+03
1.338388753173757120e-02,1.080232641844812656e-12,1.099167290891652416e-11,5.468255069610867853e-11,2.153568703643405762e-10,2.662091255742603632e-09,9.172755191784975892e-01,6.230879604749263834e+00,3.312061268829535976e+01,1.464387407910526235e+02,5.350441968184511552e+02,1.466166902738156523e+03
1.548365256585499186e-02,9.337404159045328797e-13,9.501073042868433439e-12,4.726695496120774505e-11,1.861519508968757227e-10,2.301080433996010414e-09,7.928821918527266810e-01,5.385899192653234913e+00,2.862906883999226793e+01,1.265799286506074139e+02,4.624859234130968275e+02,1.267337460947473801e+03
1.791284454622003863e-02,8.071142553187393408e-13,8.212616015228518983e-12,4.085700105177848425e-11,1.609075613147966853e-10,1.989026917201684421e-09,6.853580598337648544e-01,4.655508042766956400e+00,2.474663105899206883e+01,1.094142045379554702e+02,3.997674035661810876e+02,1.095471625311701018e+03
2.072314645219029694e-02,6.976600884386765498e-13,7.098888884368080560e-12,3.531631213212332745e-11,1.390866072771821687e-10,1.719291520150179307e-09,5.924154622284029115e-01,4.024166506092876183e+00,2.139069741291788773e+01,9.457635410522175334e+01,3.455542511967407222e+02,9.469128143390352079e+02
2.397434967801077149e-02,6.030491913540125678e-13,6.136196225314746149e-12,3.052700566624845610e-11,1.202248307401211286e-10,1.486135409076810833e-09,5.120769718129780657e-01,3.478442292440985906e+00,1.848986776099972573e+01,8.175069035696738240e+01,2.986930386393354979e+02,8.185003219086978561e+02
2.773562614198414947e-02,5.212686424510787324e-13,5.304055990857881965e-12,2.638718537373897944e-11,1.039209324998901209e-10,1.284598003437474015e-09,4.426333237062788917e-01,3.006724687838462806e+00,1.598242465964656844e+01,7.066433715985006359e+01,2.581867565588238449e+02,7.075020707500680146e+02
3.208699997370450391e-02,4.505784959145732582e-13,4.584763739805657795e-12,2.280877330585672252e-11,8.982803423521660478e-11,1.110391435636841815e-09,3.826070494082352558e-01,2.598977527413064426e+00,1.381502027505401919e+01,6.108142358721244847e+01,2.231736017887453727e+02,6.115564853393800604e+02
3.712105009066361122e-02,3.894747630051288454e-13,3.963015961005525257e-12,1.971563591756606751e-11,7.764629839682952691e-11,9.598093232562459962e-10,3.307210424898228140e-01,2.246525668053125369e+00,1.194154136587521720e+01,5.279806557869068939e+01,1.929086417878055215e+02,5.286222475139227299e+02
4.294487988789274374e-02,3.366574135101662240e-13,3.425584479048920446e-12,1.704196426618923144e-11,6.711654892661417894e-11,8.296479128382849006e-10,2.858713871443920307e-01,1.941870417881232269e+00,1.032212818756440775e+01,4.563802814568520461e+01,1.667479656112828650e+02,4.569348658147192737e+02
4.968239594734387421e-02,2.910027165736089236e-13,2.961035014384212444e-12,1.473087387413697439e-11,5.801475708212934914e-11,7.171379174998475350e-10,2.471038715063728630e-01,1.678529995657747298e+00,8.922326444807545442e+00,3.944897583268627983e+01,1.441349841967485190e+02,3.949691345361252388e+02
