preset,alpha,snr_model,detector_curve_kind,scan_low_hz,detector_curve_extrapolated,snr_ref,rho2_ref,transition_freq_obs_mhz,peak_overlap_abs,max_h_axion_ref,time_samples,nyquist_hz,df_hz,runtime_s,status,message
211,0.1,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,3.4777572362673374e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,12.491,ok,
211,0.10202020202,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,3.9211760202916626e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,10.556,ok,
211,0.10404040404,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,4.4107398521628250e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,10.760,ok,
211,0.106060606061,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,4.9502130387440993e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,10.600,ok,
211,0.108080808081,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,5.5435856446064032e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,10.887,ok,
211,0.110101010101,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,6.1950823391807297e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,10.806,ok,
211,0.112121212121,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,6.9091714232170521e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,10.783,ok,
211,0.114141414141,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,7.6905740161218481e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,11.917,ok,
211,0.116161616162,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,8.5442734199695468e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,12.684,ok,
211,0.118181818182,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,9.4755246519977326e-03,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,11.940,ok,
211,0.120202020202,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,1.0489864146463650e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,11.914,ok,
211,0.122222222222,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,1.1593119626154471e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,10.278,ok,
211,0.124242424242,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,1.2791420146768937e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,12.684,ok,
211,0.126262626263,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,1.4091206308320206e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,10.918,ok,
211,0.128282828283,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,1.5499240638240066e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,12.270,ok,
211,0.130303030303,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,1.7022618147939487e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,11.910,ok,
211,0.132323232323,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,1.8668777053172821e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,11.793,ok,
211,0.134343434343,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,2.0445509667565937e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,8.432,ok,
211,0.136363636364,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,2.2360973469308109e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,8.460,ok,
211,0.138383838384,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,2.4423702332232660e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,8.704,ok,
211,0.140404040404,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,2.6642617935326560e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,8.650,ok,
211,0.142424242424,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,2.9027041330193543e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,8.529,ok,
211,0.144444444444,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,0.0000000000000000e+00,0.0000000000000000e+00,3.1586704692211323e-02,0.0000000000000000e+00,0.0000000000000000e+00,131986,5.1154015045677716e-03,1.9378576154167002e-08,8.575,ok,
211,0.146464646465,deterministic_strain_psd_v10_two_level_absorption,characteristic_strain,2.0000000000000001e-04,False,8.1113803519449401e-16,6.5794491213918427e-31,3.4331763233152408e-02,1.6137528075787544e-05,8.0143303016245953e-29,131986,5.1154015045677716e-03,1.9378576154167002e-08,11.632,ok,
