preset,selection,alpha,distance_kpc,transition_freq_obs_mhz,scan_snr,scan_threshold,final_observation_years,final_mismatch,final_raw_mismatch,final_rho_mismatch_band,final_threshold_N_over_2rho2,final_passes,instant_mismatch,instant_rho_mismatch_band,instant_threshold_N_over_2rho2,instant_passes,selected_mismatch,selected_rho_mismatch_band,selected_threshold_N_over_2rho2,selected_passes,mismatch_data_path,elapsed_s
211,closest-above,0.289898989899,2.7735626141984149e+01,3.6192672428086685e+00,8.0552078244115695e+00,8.0000000000000000e+00,0.4,0.48396237879341575,0.48396237879341575,8.054893736938885,0.1001829292302012,True,6.342037311202198e-06,0.22441932302606635,129.06035659222647,False,2.196219419769996e-06,0.17954241489210476,201.64118086659394,False,D:\power\paper\AxionGW\code\finalcode\diagnostics\lowfre_threshold_probe_mismatch_data\lowfre211_snrprobe_decigo_mismatch_upward.txt,23.614
211v,closest-above,0.29595959596,6.2728998581962472e+00,4.1393179974272458e+00,8.0152328900181598e+00,8.0000000000000000e+00,0.4,0.4404595249558598,0.4404595249558598,8.015232839768943,0.10117683055962941,True,7.216449660063518e-15,0.0,1.3000000000000001e+61,False,1.2001385218951555e-07,0.3456515861399995,54.40467852062271,False,D:\power\paper\AxionGW\code\finalcode\diagnostics\lowfre_threshold_probe_mismatch_data\lowfre211v_snrprobe_decigo_mismatch_downward.txt,25.323
322,closest-above,0.265656565657,1.2263306841775632e+02,2.2953124389729922e+00,8.0150599051282612e+00,8.0000000000000000e+00,0.4,0.9427209096183025,0.9384415769680339,7.935894783788317,0.10320994681578732,True,0.00046023741482947855,0.13154444484320238,375.63697261824984,False,0.0010619840548107273,0.16319626600043094,244.05792877512275,False,D:\power\paper\AxionGW\code\finalcode\diagnostics\lowfre_threshold_probe_mismatch_data\lowfre322_snrprobe_decigo_mismatch_upward.txt,29.906
322v,closest-above,0.293939393939,1.8442627085855345e+00,3.8065190951158310e+00,8.0335849480786958e+00,8.0000000000000000e+00,0.4,0.8812010094071857,0.8812010094071857,7.938267643928915,0.10314825422051331,True,1.1102230246251565e-16,0.0,1.3000000000000001e+61,False,1.5746202564059786e-08,0.2819739026735692,81.75146163755502,False,D:\power\paper\AxionGW\code\finalcode\diagnostics\lowfre_threshold_probe_mismatch_data\lowfre322v_snrprobe_decigo_mismatch_downward.txt,65.627
