state,x_peak,x50,x90,a_res_over_x_peak,r_peri_over_x90,p_in_r_peri,p_in_a_res,p_in_r_apo
|544>,24.9998,26.6713,38.5166,1.19327,0.278824,0.00479062,0.645666,0.986397
|644>,46.7479,46.2841,61.8442,0.638136,0.173652,0.00471804,0.208443,0.590144
