name,initial_state,final_state,delta_m,pattern,radial_overlap,waveform_geom_factor,source_angle_average_factor,snr_angle_prefactor,observer_projected_rss
highfre322 upward,|300>,|322>,2,quadrupolar_delta_m2,142.30320010960986,25.980890901734924,0.8,0.8944271909999159,25.980890901734924
highfre322 downward,|322>,|300>,-2,quadrupolar_delta_m2,142.30320010960986,25.980890901734924,0.8,0.8944271909999159,25.980890901734924
highfre211 upward,|21-1>,|211>,2,quadrupolar_delta_m2,30.00014871180598,6.000029742361184,0.8,0.8944271909999159,6.000029742361184
highfre211 downward,|211>,|21-1>,-2,quadrupolar_delta_m2,30.00014871180598,6.000029742361184,0.8,0.8944271909999159,6.000029742361184
highfre644 upward,|544>,|644>,0,axisymmetric_delta_m0,-492.3310508219062,89.51473651307369,0.5333333333333333,0.7302967433402214,179.02947302614737
highfre644 downward,|644>,|544>,0,axisymmetric_delta_m0,-492.3310508219062,89.51473651307369,0.5333333333333333,0.7302967433402214,179.02947302614737
