1.0226069449e-5, 2.5418194262e-16
1.2228653539e-5, 1.7815739691e-16
1.4623406199e-5, 1.2487141198e-16
1.8286724512e-5, 8.0082381080e-17
2.1867836858e-5, 5.6130142073e-17
2.7345961869e-5, 3.5997314008e-17
3.4196415282e-5, 2.3085753357e-17
4.2762979915e-5, 1.4805327085e-17
5.3475559824e-5, 8.6877387438e-18
6.6871754593e-5, 6.0892796069e-18
8.3623838199e-5, 3.9051693439e-18
1.0457249638e-4, 2.5044584235e-18
1.3076901557e-4, 1.6061562106e-18
1.6352804059e-4, 1.0300581350e-18
2.0449354874e-4, 6.6059562227e-19
2.5572135106e-4, 4.2365237587e-19
3.1978226107e-4, 2.7169622312e-19
3.8240562494e-4, 1.9043324385e-19
4.5729260122e-4, 1.3347561459e-19
5.7184924677e-4, 8.5600417770e-20
6.8383520666e-4, 5.4897155145e-20
8.1775151845e-4, 4.2052731687e-20
1.0226069449e-3, 2.6969206411e-20
1.2787808279e-3, 1.7295858444e-20
1.5292060918e-3, 1.2122753827e-20
1.9122884328e-3, 8.4968988865e-21
2.3913369624e-3, 5.9555189949e-21
3.1271278046e-3, 4.5620914542e-21
4.0893142456e-3, 4.1742530978e-21
4.8901298167e-3, 4.5620914542e-21
6.1151591887e-3, 4.1742530978e-21
7.6470714080e-3, 4.1742530978e-21
9.5627438821e-3, 4.9859646623e-21
1.3674842407e-2, 5.4492207933e-21
1.7882456796e-2, 5.9555189949e-21
2.2362201842e-2, 7.7745496456e-21
2.7964170523e-2, 8.4968988865e-21
3.4969491759e-2, 1.0149177971e-20
4.1817611475e-2, 1.2122753827e-20
5.0006807121e-2, 1.5825480794e-20
5.9799703288e-2, 1.7295858444e-20
7.1510354674e-2, 1.8902851876e-20
8.1775151845e-2, 2.4676465725e-20
1.0226069449e-1, 2.9474970303e-20
1.2228653539e-1, 3.5206576341e-20
1.4623406199e-1, 4.2052731687e-20
1.7487126295e-1, 5.0230167945e-20
2.0911652313e-1, 5.9997761632e-20
2.5006807584e-1, 6.5572275854e-20
2.9903922282e-1, 7.8323245519e-20
3.4196415282e-1, 9.3553726917e-20
4.0893142456e-1, 1.0224599421e-19
4.6763058987e-1, 1.2212841485e-19
5.3475559824e-1, 1.4587710578e-19
6.1151591887e-1, 1.7424388924e-19
7.3126985323e-1, 2.0812678437e-19
8.3623838199e-1, 2.2746426777e-19
9.5627438821e-1, 2.7169622312e-19
