2.0911652313e-3, 1.4480104770e-20
2.3913369624e-3, 1.0149177971e-20
2.8596354985e-3, 7.7745496456e-21
3.4196415282e-3, 5.4492207933e-21
3.9105064784e-3, 4.1742530978e-21
4.6763058987e-3, 2.9257549072e-21
5.3475559824e-3, 2.2412087798e-21
6.1151591887e-3, 1.7168276065e-21
6.9929463152e-3, 1.4373292713e-21
7.9967334714e-3, 1.0074312866e-21
9.5627438821e-3, 7.0611363549e-22
1.1435428089e-2, 4.9491858440e-22
1.3674842407e-2, 3.4689091511e-22
1.6352804059e-2, 2.4313758015e-22
1.7882456796e-2, 1.8625007788e-22
2.0449354874e-2, 1.5592869529e-22
2.4453977854e-2, 1.1944567197e-22
2.7964170523e-2, 9.1498672038e-23
3.3440429338e-2, 5.8679816352e-23
3.8240562494e-2, 4.1128977239e-23
4.7820228886e-2, 2.8827506183e-23
5.7184924677e-2, 2.0205343495e-23
7.1510354674e-2, 1.2958066158e-23
8.5514317704e-2, 9.0823734838e-24
1.0226069449e-1, 6.9573480481e-24
1.1693948181e-1, 4.8764400998e-24
1.3372530350e-1, 3.7354873229e-24
1.5991289850e-1, 2.8614860951e-24
1.8286724512e-1, 2.1919771009e-24
2.0911652313e-1, 1.6791147856e-24
2.5006807584e-1, 1.2862481373e-24
2.9903922282e-1, 9.8530147251e-25
3.5760045133e-1, 9.0153776291e-25
4.2762979915e-1, 8.2489508098e-25
5.1137308255e-1, 7.5476804481e-25
6.3947746212e-1, 7.5476804481e-25
8.3623838199e-1, 7.5476804481e-25
1.0935406999e+0, 7.5476804481e-25
1.4300124081e+0, 7.5476804481e-25
2.0449354874e+0, 7.5476804481e-25
2.5572135106e+0, 7.5476804481e-25
3.4969491759e+0, 8.2489508098e-25
4.3729720247e+0, 9.0153776291e-25
5.9799703288e+0, 9.0153776291e-25
7.4780163053e+0, 1.0768478390e-24
