5.0006807121e+0, 1.0000000000e-22
5.0006807121e+0, 7.0090500951e-23
5.4684478860e+0, 4.9126783236e-23
5.4684478860e+0, 3.4433208471e-23
5.7184924677e+0, 2.4134408311e-23
5.9799703288e+0, 1.6915927687e-23
6.2534042556e+0, 1.0848502038e-23
6.2534042556e+0, 6.9573480481e-24
6.5393409389e+0, 4.8764400998e-24
6.8383520666e+0, 3.1273525958e-24
7.1510354674e+0, 2.3956381575e-24
7.4780163053e+0, 1.6791147856e-24
8.1775151845e+0, 1.1768999647e-24
8.9424456785e+0, 9.8530147251e-25
9.3513386835e+0, 7.5476804481e-25
1.0693656105e+1, 5.7817309459e-25
1.2228653539e+1, 3.7079326131e-25
1.5292060918e+1, 2.8403784291e-25
1.6722490999e+1, 2.1758080478e-25
1.9122884328e+1, 1.9908354698e-25
2.2867742907e+1, 1.8215880174e-25
2.6150242956e+1, 1.6667288459e-25
3.2701156103e+1, 1.5250347605e-25
3.9105064784e+1, 1.5250347605e-25
4.6763058987e+1, 1.5250347605e-25
5.3475559824e+1, 1.5250347605e-25
6.6871754593e+1, 1.5250347605e-25
7.3126985323e+1, 1.3953865539e-25
8.7447535174e+1, 1.5250347605e-25
1.0935406999e+2, 1.3953865539e-25
1.3076901557e+2, 1.3953865539e-25
1.6352804059e+2, 1.5250347605e-25
2.0449354874e+2, 1.5250347605e-25
2.4453977854e+2, 1.5250347605e-25
2.9242831208e+2, 1.6667288459e-25
3.8240562494e+2, 1.8215880174e-25
4.7820228886e+2, 1.8215880174e-25
5.7184924677e+2, 2.1758080478e-25
7.4780163053e+2, 2.3779668047e-25
9.3513386835e+2, 2.8403784291e-25
1.1182623143e+3, 3.7079326131e-25
1.3372530350e+3, 4.0524441836e-25
1.5991289850e+3, 5.2902070362e-25
1.9122884328e+3, 6.9060273796e-25
2.3913369624e+3, 8.2489508098e-25
2.9903922282e+3, 1.0768478390e-24
3.2701156103e+3, 1.4057560713e-24
3.4196415282e+3, 2.0056299387e-24
3.5760045133e+3, 3.4179212946e-24
3.5760045133e+3, 2.6182217776e-24
3.7395171903e+3, 4.8764400998e-24
3.9105064784e+3, 2.8614860951e-24
3.9105064784e+3, 1.5363677308e-24
3.9105064784e+3, 2.0056299387e-24
4.4718315624e+3, 1.2862481373e-24
4.6763058987e+3, 1.5363677308e-24
